Seed: 1406445015
FFE found;Fitness
138;-83761
654;-70844
1384;-69165
2262;-68317
3287;-67890
4463;-67792
5725;-67524
6994;-67022
8353;-66024
12734;-66022
16137;-65952
17981;-65639
27881;-65468
30113;-65449
32380;-65282
91505;-65259
120913;-65163
130088;-65082
139566;-64972
159717;-64726
163210;-64618
265442;-64565
282480;-64556
286797;-64461
379948;-64453
434605;-64350
466964;-64316
477934;-64297
483464;-64213
522876;-64212
546021;-64128
569593;-64106
662578;-64099
816743;-64011
981421;-63969
1149566;-63923
1315289;-63910
1343486;-63886
1386470;-63879
1422564;-63878
2318785;-63862
2487208;-63833
3012415;-63752
3070940;-63666
3298923;-63657
3402149;-63641
38774709;-63609
43543157;-63607
49385111;-63605
