Seed: 2924813070
FFE found;Fitness
42;-84999
242;-79294
707;-71010
1600;-70272
2706;-67976
3968;-67869
5235;-67386
6599;-67337
11173;-66652
16309;-66342
18347;-66073
20385;-65768
24568;-65749
26800;-65269
29037;-65261
36189;-65094
41492;-65063
47176;-65003
59123;-64915
71752;-64769
95475;-64752
135999;-64691
165102;-64688
245416;-64498
278209;-64467
302575;-64409
428278;-64403
472694;-64382
506569;-64373
529565;-64362
611059;-64267
616884;-64243
646243;-64235
901158;-64181
2196829;-64159
2876256;-64133
5157859;-64108
9351185;-64036
11402831;-63989
11751566;-63984
18399465;-63964
21657865;-63915
25460464;-63848
62237743;-63847
69654259;-63835
70099827;-63827
84463681;-63765
98253423;-63761
98523487;-63743
105645250;-63741
105910404;-63734
111142631;-63700
130820920;-63618
130935001;-63579
140512577;-63362
140698535;-63351
140884493;-63328
