Seed: 2164384908
FFE found;Fitness
232;-77405
914;-72862
1697;-71102
2624;-70985
3690;-70925
4856;-69983
6214;-69243
9134;-67205
10740;-67149
12493;-66528
14337;-66232
16187;-66043
18132;-65725
22338;-65713
24505;-65485
29163;-65399
31523;-65382
33982;-65256
56602;-65168
62570;-64913
68592;-64885
74712;-64832
77869;-64704
94664;-64590
101797;-64559
112975;-64547
125098;-64495
129319;-64442
137957;-64420
146692;-64395
151155;-64354
164549;-64333
173794;-64318
188213;-64299
203090;-64235
238405;-64161
263681;-64080
273867;-64066
305896;-64054
317057;-64040
415207;-64031
661705;-64000
720205;-63971
791816;-63967
871028;-63964
951870;-63959
965358;-63943
1226644;-63921
1468767;-63911
1658901;-63899
2079067;-63898
3019087;-63855
3027624;-63748
3096453;-63744
3194459;-63700
9234133;-63646
10187671;-63637
