Seed: 3868030853
FFE found;Fitness
28;-85119
342;-75387
932;-72864
1615;-71588
2396;-69946
5461;-68876
6679;-67419
8104;-66358
11516;-66290
13365;-66260
17357;-66014
19512;-66001
21749;-65899
26525;-65826
31571;-65705
72140;-65699
101158;-65430
104457;-65096
170977;-65017
187041;-64657
207957;-64648
212281;-64632
216696;-64585
230091;-64496
234599;-64473
248486;-64419
291632;-64387
301722;-64317
347969;-64310
434124;-64299
761516;-64240
2804901;-64216
3031392;-64127
3718263;-63970
4654057;-63968
4734970;-63938
4917729;-63869
11232759;-63864
13299585;-63829
14896327;-63761
82093756;-63733
94082008;-63727
135590902;-63724
140888623;-63697
143255231;-63599
167147633;-63586
170110238;-63579
196416929;-63566
