Seed: 915253169
FFE found;Fitness
90;-80695
501;-72213
1120;-71104
1905;-69966
2785;-69133
3762;-68439
6001;-67992
7170;-67131
8504;-66567
10057;-66437
13268;-66087
16813;-65890
26270;-65782
30353;-65577
41427;-65311
58758;-65219
89394;-65163
121684;-65152
130716;-65110
147081;-65087
167805;-64881
201245;-64829
244380;-64814
261065;-64812
265334;-64773
278322;-64744
287182;-64741
309739;-64647
398311;-64616
490994;-64612
548343;-64483
821746;-64466
839645;-64454
863513;-64364
1342471;-64358
1407527;-64357
1420775;-64332
1496277;-64328
1567961;-64308
1910645;-64284
3588818;-64271
3760111;-64236
3803126;-64210
3829028;-64199
4071831;-64062
4867555;-64004
5606641;-63958
7035716;-63937
10190023;-63890
10634489;-63868
15389656;-63808
15426616;-63806
62118685;-63791
